iter	Passed	Remaining
771	3341	986
772	3346	982
773	3349	977
774	3351	972
775	3353	968
776	3356	963
777	3358	958
778	3363	954
779	3365	949
780	3368	944
781	3370	939
782	3372	934
783	3376	930
784	3379	925
785	3381	920
786	3384	915
787	3386	911
788	3394	907
789	3396	902
790	3399	898
791	3401	893
792	3403	888
793	3405	883
794	3410	879
795	3412	874
796	3415	870
797	3418	865
798	3422	860
799	3425	856
800	3428	851
801	3430	847
802	3433	842
803	3435	837
804	3440	833
805	3442	828
806	3445	823
807	3447	819
808	3449	814
809	3452	809
810	3456	805
811	3459	800
812	3461	796
813	3466	792
814	3471	788
815	3474	783
816	3476	778
817	3478	773
818	3481	769
819	3483	764
820	3489	760
821	3491	756
822	3493	751
823	3495	746
824	3498	742
825	3503	738
826	3506	733
827	3508	728
828	3510	724
829	3512	719
830	3515	714
831	3520	710
832	3522	706
833	3525	701
834	3528	697
835	3533	693
836	3536	688
837	3541	684
838	3544	680
839	3546	675
840	3552	671
841	3554	666
842	3556	662
843	3558	657
844	3561	653
845	3566	649
846	3569	644
847	3571	640
848	3573	635
849	3576	631
850	3581	627
851	3584	622
852	3586	618
853	3588	613
854	3591	609
855	3593	604
856	3598	600
857	3600	595
858	3602	591
859	3605	586
860	3608	582
861	3612	578
862	3616	574
863	3619	569
864	3621	565
865	3625	560
866	3629	556
867	3631	552
868	3634	547
869	3636	543
870	3638	538
871	3643	534
872	3646	530
873	3648	525
874	3651	521
875	3653	517
876	3658	513
877	3660	508
878	3663	504
879	3665	499
880	3667	495
881	3670	491
882	3676	487
883	3678	482
884	3680	478
885	3683	473
886	3685	469
887	3690	465
888	3693	461
889	3699	457
890	3702	452
891	3708	449
892	3710	444
893	3713	440
894	3715	435
895	3717	431
896	3723	427
897	3726	423
898	3729	418
899	3732	414
900	3738	410
901	3740	406
902	3743	402
903	3745	397
904	3747	393
905	3751	389
906	3754	384
907	3756	380
908	3759	376
909	3761	372
910	3763	367
911	3772	364
912	3776	359
913	3779	355
914	3785	351
915	3788	347
916	3790	343
917	3792	338
918	3795	334
919	3800	330
920	3802	326
921	3804	321
922	3807	317
923	3809	313
924	3813	309
925	3816	305
926	3819	300
927	3822	296
928	3825	292
929	3831	288
930	3833	284
931	3836	279
932	3838	275
933	3840	271
934	3846	267
935	3852	263
936	3854	259
937	3856	254
938	3861	250
939	3864	246
940	3866	242
941	3869	238
942	3871	234
943	3873	229
944	3878	225
945	3881	221
946	3883	217
947	3886	213
948	3888	208
949	3894	204
950	3896	200
951	3898	196
952	3901	192
953	3903	188
954	3909	184
955	3911	180
956	3914	175
957	3916	171
958	3918	167
959	3920	163
960	3925	159
961	3931	155
962	3934	151
963	3939	147
964	3941	142
965	3946	138
966	3948	134
967	3950	130
968	3956	126
969	3959	122
970	3962	118
971	3964	114
972	3966	110
973	3971	106
974	3973	101
975	3976	97
976	3978	93
977	3980	89
978	3982	85
979	3988	81
980	3991	77
981	3993	73
982	3996	69
983	3998	65
984	4004	60
985	4006	56
986	4009	52
987	4011	48
988	4018	44
989	4021	40
990	4024	36
991	4028	32
992	4030	28
993	4035	24
994	4038	20
995	4041	16
996	4043	12
997	4045	8
998	4051	4
999	4053	0
